id,bin,start_seconds,end_seconds,text_norm,audio_rms,vision_rgb_mean_1,text_coverage,audio_coverage,vision_coverage,text_source_count,audio_source_count,vision_source_count
-tANM6ETl_M$_$3,26,3.380000,3.515200,14.123347,0.070108034,0.3515656,0.980521,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,27,3.515200,3.650400,10.61499,0.075478263,0.35141632,0.574098,1.000000,1.000000,4,16,2
-tANM6ETl_M$_$3,28,3.650400,3.785600,10.61499,0.044839248,0.35122639,0.316662,1.000000,1.000000,4,16,1
-tANM6ETl_M$_$3,29,3.785600,3.920800,14.197862,0.099824421,0.35000819,0.198736,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,30,3.920800,4.056000,14.197862,0.12288407,0.35011482,1.000000,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,31,4.056000,4.191200,14.197862,0.084305458,0.35047102,0.879705,1.000000,1.000000,1,16,1
-tANM6ETl_M$_$3,32,4.191200,4.326400,13.243037,0.041689165,0.35094815,0.229534,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,33,4.326400,4.461600,13.243037,0.11494423,0.35112363,1.000000,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,34,4.461600,4.596800,12.748327,0.053501531,0.35129356,0.403527,1.000000,1.000000,2,16,1
-tANM6ETl_M$_$3,35,4.596800,4.732000,16.310412,0.05779615,0.35128057,0.408792,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,36,4.732000,4.867200,16.310412,0.016773026,0.35122037,1.000000,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,37,4.867200,5.002400,16.310412,0.062669635,0.35112479,1.000000,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,38,5.002400,5.137600,12.719585,0.044919521,0.34918752,0.708871,1.000000,1.000000,2,16,1
-tANM6ETl_M$_$3,39,5.137600,5.272800,10.166186,0.046207152,0.3495239,0.994209,1.000000,1.000000,3,16,2
-tANM6ETl_M$_$3,40,5.272800,5.408000,10.166186,0.058505684,0.34977388,0.490392,1.000000,1.000000,3,16,2
-tANM6ETl_M$_$3,41,5.408000,5.543200,12.765667,0.11892695,0.34916449,0.767307,1.000000,1.000000,1,16,1
-tANM6ETl_M$_$3,42,5.543200,5.678400,12.765667,0.065952286,0.35004258,0.865754,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,43,5.678400,5.813600,12.964833,0.056718759,0.35064846,0.540405,1.000000,1.000000,1,16,2
-tANM6ETl_M$_$3,44,5.813600,5.948800,12.964833,0.1393728,0.3503775,1.000000,1.000000,1.000000,1,16,1
-tANM6ETl_M$_$3,45,5.948800,6.084000,11.366502,0.020512229,0.35021687,0.406160,1.000000,1.000000,3,16,2
-tANM6ETl_M$_$3,46,6.084000,6.219200,13.211014,0.0012287222,0.35005236,0.280337,1.000000,1.000000,2,16,2
-tANM6ETl_M$_$3,47,6.219200,6.354400,0,0.00093176943,0.34964997,0.000000,1.000000,1.000000,0,16,1
-tANM6ETl_M$_$3,48,6.354400,6.489600,0,0.0024218843,0.34813845,0.000000,1.000000,1.000000,0,16,2
-tANM6ETl_M$_$3,49,6.489600,6.624800,0,0.0023393061,0.34744895,0.000000,0.779586,1.000000,0,11,2
-tANM6ETl_M$_$3,50,6.624800,6.760000,0,0,0.34780389,0.000000,0.000000,1.000000,0,0,1
