split,modality,model,position,macro_f1,sd,mae,effective_total_rate
valid,audio,robust,prefix,0.6134545499508532,0.014632102888349714,0.5670792615542618,0.09879490239864475
valid,audio,robust,middle,0.6159345107232369,0.012768502441199545,0.5676561355464597,0.09879490239864475
valid,audio,robust,suffix,0.6149478360680597,0.014941634509970766,0.5669276636582543,0.09879490239864475
valid,audio,robust,random,0.6131595895055026,0.010863527815817169,0.5670891981277676,0.09879490239864475
valid,vision,baseline,prefix,0.6077620862931638,0.002913065407787113,0.5785382701524946,0.09334693720401956
valid,vision,baseline,middle,0.6081777035766832,0.0036753026525290517,0.577475366129748,0.09334693720401956
valid,vision,baseline,suffix,0.6125368450465963,0.002469889524570245,0.5790203690610745,0.09334693720401956
valid,vision,baseline,random,0.6106588785087174,0.005072684710236532,0.5776654140552123,0.09334693720401956
valid,vision,robust_noaug,prefix,0.616134768494827,0.007443819178414833,0.5747843135775992,0.09334693720401956
valid,vision,robust_noaug,middle,0.6168822032505492,0.005631625940593445,0.5744190010926157,0.09334693720401956
valid,vision,robust_noaug,suffix,0.6128168558311892,0.008376761135963726,0.5753282309175494,0.09334693720401956
valid,vision,robust_noaug,random,0.6161969366632075,0.006188685440262122,0.5748143951364216,0.09334693720401956
valid,vision,robust,prefix,0.6170539073163642,0.013797596421378708,0.5673588572454642,0.09334693720401956
valid,vision,robust,middle,0.614111155096433,0.013096776977842827,0.5673844468227208,0.09334693720401956
valid,vision,robust,suffix,0.612488295868355,0.012386575432155407,0.5679685439088896,0.09334693720401956
valid,vision,robust,random,0.6153632893986297,0.012179814052495843,0.5673049264941398,0.09334693720401956
test,text,baseline,prefix,0.6124001010079799,0.013744639823041813,0.6621266353216939,0.10753995489753898
test,text,baseline,middle,0.6107884550657877,0.015356505617797318,0.6767901953285008,0.10753995489753898
test,text,baseline,suffix,0.545143376991328,0.01544251593829269,0.7560260039623973,0.10753995489753898
test,text,baseline,random,0.5817714042714638,0.009867203983676295,0.7074810379607103,0.10753995489753898
test,text,robust_noaug,prefix,0.616240133134497,0.004566359724825437,0.651011181009719,0.10753995489753898
test,text,robust_noaug,middle,0.6097968188015218,0.0100982146848328,0.6797240497198525,0.10753995489753898
test,text,robust_noaug,suffix,0.5180776087004865,0.01234412319097294,0.7755379003597742,0.10753995489753898
test,text,robust_noaug,random,0.5876535573239351,0.0049416074306448685,0.7011432604499568,0.10753995489753898
test,text,robust,prefix,0.612437646212816,0.015560127605910542,0.6396622116011744,0.10753995489753898
test,text,robust,middle,0.6028804624173821,0.016463917659781443,0.6700399028519932,0.10753995489753898
test,text,robust,suffix,0.5742366501668711,0.015387211923237278,0.7116679771137601,0.10753995489753898
test,text,robust,random,0.5946487786807454,0.024028878166623836,0.6880483911908627,0.10753995489753898
test,audio,baseline,prefix,0.6545946016506871,0.016814439498715417,0.6136073829112544,0.09881360917737032
test,audio,baseline,middle,0.6536433734538666,0.01082643264205225,0.6143497490900125,0.09881360917737032
test,audio,baseline,suffix,0.656197763933643,0.014580124211749841,0.6143872199566408,0.09881360917737032
test,audio,baseline,random,0.6548421099162822,0.016770897131657907,0.6143768279612959,0.09881360917737032
test,audio,robust_noaug,prefix,0.6514462031574096,0.00512911078041674,0.6090059898117304,0.09881360917737032
test,audio,robust_noaug,middle,0.6506661720147827,0.0015120470917476812,0.6091997369227983,0.09881360917737032
test,audio,robust_noaug,suffix,0.6507062680417147,0.0023608783540925095,0.6101095402422833,0.09881360917737032
test,audio,robust_noaug,random,0.6543082848224683,0.004744000556623832,0.6093345172276249,0.09881360917737032
test,audio,robust,prefix,0.6451793409204726,0.02066507016930879,0.6071113265810832,0.09881360917737032
test,audio,robust,middle,0.6420343315620485,0.018496219976181363,0.6079318512727304,0.09881360917737032
test,audio,robust,suffix,0.643331723194967,0.017178365387454337,0.6080677832221867,0.09881360917737032
test,audio,robust,random,0.6451278571440172,0.018394612928535104,0.6078117058886978,0.09881360917737032
test,vision,baseline,prefix,0.6545763735914528,0.013741236824779214,0.6137002342389551,0.09283263065006374
test,vision,baseline,middle,0.6568591122647053,0.014966482838580092,0.6137841052641765,0.09283263065006374
test,vision,baseline,suffix,0.654647980832467,0.017273350051165405,0.6140616940482188,0.09283263065006374
test,vision,baseline,random,0.655320703492547,0.01697778700105345,0.6137031927949917,0.09283263065006374
test,vision,robust_noaug,prefix,0.6525787039366778,0.005307707346224232,0.609171634625365,0.09283263065006374
test,vision,robust_noaug,middle,0.6541281560344933,0.005741916738172464,0.609318348061992,0.09283263065006374
test,vision,robust_noaug,suffix,0.647535648715627,0.005416944361341535,0.6102679139276449,0.09283263065006374
test,vision,robust_noaug,random,0.6520974928235078,0.0036729442605450834,0.6094756560491509,0.09283263065006374
test,vision,robust,prefix,0.6430972015912287,0.018105164543257477,0.6070877132332657,0.09283263065006374
test,vision,robust,middle,0.643237466968917,0.02039595463846499,0.607972072947263,0.09283263065006374
test,vision,robust,suffix,0.6432673181711913,0.018849450651186872,0.608048840751295,0.09283263065006374
test,vision,robust,random,0.6467630451776566,0.017099410872073593,0.607732740879496,0.09283263065006374
